id,Sex,Length,Diameter,Height,Weight,Age,price
0,I,0.8125,0.625,0.1625,5.2446575,5,6.03
1,M,1.175,0.925,0.2875,13.36678925,8,5.48
2,I,0.85,0.65,0.25,5.3013565,6,8.24
3,M,1.3375,1.0875,0.4125,26.32251075,10,5.78
4,M,1.7,1.3,0.425,44.22522,9,5.22
5,I,1.125,0.8875,0.25,15.87572,10,5.16
6,M,1.5125,1.2,0.4125,32.78619675,9,6.58
7,M,1.55,1.225,0.4125,32.41765325,15,5.90
8,M,1.2,0.8875,0.3,13.02659525,10,9.64
9,F,1.5625,1.25,0.4375,38.82464025,16,9.43
10,M,1.4875,1.175,0.475,31.56716825,10,8.54
11,I,1.0875,0.8125,0.275,10.4609655,7,6.84
12,M,1.2875,1,0.3125,15.87572,10,6.53
13,F,1.5875,1.275,0.45,35.81959325,10,5.88
14,I,1.2,0.9375,0.35,14.8834875,7,7.77
15,M,1.6375,1.2625,0.4,34.529691,8,6.68
16,F,1.225,0.975,0.3,17.463292,8,9.79
17,M,1.5625,1.2,0.3875,31.2694985,12,7.61
18,F,1.325,1.05,0.375,20.638436,8,5.03
19,F,1.65,1.1875,0.5,40.44056175,10,5.21
20,M,1.2375,0.9625,0.3375,14.61416725,11,9.91
21,I,1.175,0.925,0.2875,13.45183775,7,8.91
22,I,1.1625,0.8875,0.35,14.2030995,8,8.61
23,I,1.2125,0.9125,0.3125,16.7120303,8,5.50
24,I,1.0375,0.8125,0.2875,8.17883075,7,6.08
25,M,1.6875,1.35,0.55,46.6916265,9,7.62
26,I,1.025,0.7625,0.25,8.51902475,8,8.29
27,I,1.2625,0.9875,0.2625,15.195332,8,7.88
28,M,1.525,1.2125,0.35,27.499015,14,9.68
29,I,0.525,0.4,0.125,1.20485375,7,8.54
30,M,1.475,1.175,0.3125,25.41532675,11,9.94
31,F,1.4375,1.1625,0.3875,27.555714,9,9.86
32,F,1.525,1.2375,0.375,40.78075575,9,7.72
33,I,1.1,0.9125,0.25,9.96484925,7,8.98
34,F,1.325,1.0625,0.4125,24.38057,17,7.34
35,F,1.5125,1.2,0.4,31.808139,13,8.13
36,I,1.225,0.95,0.2875,17.236496,8,9.31
37,F,1.4375,1.15,0.4125,28.0943545,17,8.26
38,I,1.2,0.9375,0.35,14.3731965,9,6.31
39,F,1.7125,1.425,0.4875,49.34230475,10,7.20
40,M,1.5875,1.2125,0.4375,46.6916265,13,8.39
41,M,1.25,0.95,0.3,15.66309875,9,5.97
42,I,1.4125,1.125,0.375,22.5945515,11,5.81
43,F,1.45,1.15,0.375,28.2644515,8,5.21
44,M,1.275,1,0.3,17.70426275,8,7.94
45,I,0.8875,0.7125,0.2375,6.8322295,6,9.02
46,F,1.1625,0.925,0.35,28.462898,10,5.87
47,I,1.1125,0.8875,0.325,12.984071,6,5.64
48,I,1.15,0.8625,0.275,12.28950825,8,9.82
49,F,1.25,0.95,0.3625,18.71067,8,6.98
50,F,1.4375,1.125,0.375,28.8314415,9,5.90
51,F,1.55,1.2375,0.45,37.3518265,13,7.63
52,M,1.4375,1.0875,0.375,27.68328675,12,7.85
53,M,1.5375,1.125,0.375,26.2799865,11,5.40
54,M,1.5625,1.1375,0.425,30.63163475,12,9.48
55,F,1.2625,1,0.325,20.25571775,9,8.01
56,I,1.3875,1.1125,0.4375,24.16794875,13,9.75
57,F,0.8625,0.675,0.25,6.0384435,6,6.06
58,F,1.35,1.1125,0.4,29.44095575,13,6.46
59,F,1.475,1.15,0.375,32.4601775,12,8.72
60,I,0.825,0.5625,0,4.2240755,5,5.78
61,F,1.3875,1.0875,0.4,24.90503575,13,8.56
62,I,1.3625,1.0625,0.35,24.53649225,8,6.44
63,M,1.55,1.225,0.3875,32.8415355,14,8.66
64,F,1.5625,1.225,0.3875,29.44095575,9,6.19
65,M,1.4125,1.125,0.3375,25.41532675,12,9.37
66,M,1.5625,1.2,0.4125,33.26813825,11,5.17
67,F,1.6,1.2875,0.475,33.5941575,10,6.19
68,I,1.4,1.1,0.375,23.700182,10,8.27
69,F,1.625,1.25,0.4375,46.42230625,9,8.71
70,I,1.25,1,0.3625,16.82542825,10,6.79
71,M,1.45,1.075,0.375,20.87940675,11,9.73
72,I,1.0125,0.75,0.225,8.618248,7,8.49
73,F,1.3125,1,0.35,20.6667855,9,8.75
74,F,1.625,1.3,0.4125,38.385223,13,7.70
75,I,1.175,0.875,0.3,12.9557215,7,9.03
76,M,1.225,0.975,0.4,21.9708625,20,8.60
77,M,1.4875,1.1375,0.4625,35.6920205,18,7.09
78,F,1.3125,1.1125,0.3375,23.94115275,11,6.62
79,I,0.7125,0.525,0.1875,4.12485225,5,9.07
80,M,0.925,0.6625,0.25,7.994559,6,6.34
81,F,1.375,1.0625,0.3625,22.66542525,13,6.14
82,I,1.2375,0.9375,0.3125,15.43630275,8,5.60
